Country or Area,Year,Subgroup,Value
Costa Rica,2000,Male,94.7
C̫te d�۪Ivoire,2000,Female,38.6
C̫te d�۪Ivoire,1988,Female,23.4
C̫te d�۪Ivoire,2000,Male,60.8
C̫te d�۪Ivoire,1988,Male,44.4
Croatia,2001,Female,97.1
Croatia,1991,Female,94.8
Croatia,2001,Male,99.3
Croatia,1991,Male,98.8
Cuba,2002,Female,99.8
Cuba,2002,Male,99.8
Cyprus,2001,Female,95.1
Cyprus,1992,Female,91
Cyprus,2001,Male,98.6
Cyprus,1992,Male,97.8
Dominican Republic,2002,Female,87.2
Dominican Republic,2002,Male,86.8
Ecuador,2001,Female,89.7
Ecuador,1990,Female,86.2
Ecuador,2001,Male,92.3
Ecuador,1990,Male,90.5
Egypt,2005,Female,59.4
Egypt,1996,Female,43.6
Egypt,1986,Female,31.4
Egypt,2005,Male,83
Egypt,1996,Male,67.2
Egypt,1986,Male,57
El Salvador,2004,Female,79.2
El Salvador,1992,Female,71.3
El Salvador,2004,Male,82.1
El Salvador,1992,Male,77.4
Equatorial Guinea,2000,Female,80.5
Equatorial Guinea,2000,Male,93.4
Estonia,2000,Female,99.8
Estonia,1989,Female,99.6
Estonia,2000,Male,99.8
Estonia,1989,Male,99.9
Ethiopia,2004,Female,22.8
Ethiopia,1994,Female,18.5
Ethiopia,2004,Male,50
Ethiopia,1994,Male,36
Gabon,2004,Female,80
Gabon,1993,Female,65.3
Gabon,2004,Male,88
Gabon,1993,Male,79.4
Ghana,2000,Female,49.8
Ghana,2000,Male,66.4
Greece,2001,Female,94.2
Greece,1991,Female,89.4
Greece,2001,Male,97.8
Greece,1991,Male,96
Guatemala,2002,Female,63.3
Guatemala,1994,Female,57.3
Guatemala,2002,Male,75.4
Guatemala,1994,Male,71.7
Guinea,2003,Female,18.1
Guinea,2003,Male,42.6
Honduras,2001,Female,80.2
Honduras,2001,Male,79.8
India,2001,Female,47.8
India,1991,Female,33.7
India,2001,Male,73.4
India,1991,Male,61.6
Indonesia,2004,Female,86.8
Indonesia,1990,Female,75.3
Indonesia,2004,Male,94
Indonesia,1990,Male,88
Iran,2005,Female,76.8
Iran,1996,Female,66.1
Iran,1991,Female,56.2
Iran,1986,Female,41
Iran,2005,Male,88
Iran,1996,Male,79.9
Iran,1991,Male,74.3
Iran,1986,Male,63.1
Iraq,2000,Female,64.2
Iraq,2000,Male,84.1
Italy,2001,Female,98
Italy,2001,Male,98.8
Jamaica,1999,Female,85.9
Jamaica,1999,Male,74.1
Jordan,2005,Female,87
Jordan,2003,Female,84.7
Jordan,2005,Male,95.2
Jordan,2003,Male,95.1
Kazakhstan,1999,Female,99.3
Kazakhstan,1989,Female,96.1
Kazakhstan,1999,Male,99.8
Kazakhstan,1989,Male,99.1
Kenya,2000,Female,70.2
Kenya,2000,Male,77.7
Kuwait,2005,Female,91
Kuwait,1995,Female,74.1
Kuwait,1985,Female,68.8
Kuwait,2005,Male,94.4
Kuwait,1995,Male,81.1
Kuwait,1985,Male,78.2
Kyrgyzstan,1999,Female,98.1
Kyrgyzstan,1999,Male,99.3
Lao PDR,2001,Female,60.9
Lao PDR,1995,Female,47.9
Lao PDR,2001,Male,77
Lao PDR,1995,Male,73.5
Latvia,2000,Female,99.7
Latvia,1989,Female,99.2
Latvia,2000,Male,99.8
Latvia,1989,Male,99.8
Lesotho,2001,Female,90.3
Lesotho,2001,Male,73.7
Liberia,2004,Female,45.7
Liberia,1994,Female,29.7
Liberia,2004,Male,58.3
Liberia,1994,Male,52
Libya,2004,Female,74.8
Libya,1994,Female,61
Libya,2004,Male,92.8
Libya,1994,Male,86.9
Lithuania,2001,Female,99.6
Lithuania,1989,Female,97.8
Lithuania,2001,Male,99.6
Lithuania,1989,Male,99.2
Macau SAR,2001,Female,87.8
Macau SAR,2001,Male,95.3
Macedonia,2002,Female,94.1
Macedonia,1994,Female,90.9
Macedonia,2002,Male,98.2
Macedonia,1994,Male,97.2
Madagascar,2000,Female,65.3
Madagascar,2000,Male,76.5
Malawi,1998,Female,54
Malawi,1987,Female,33.5
Malawi,1998,Male,74.9
Malawi,1987,Male,65.3
Malaysia,2000,Female,85.4
Malaysia,1991,Female,77.3
Malaysia,2000,Male,92
Malaysia,1991,Male,88.6
Maldives,2000,Female,96.4
Maldives,1995,Female,96.4
Maldives,1990,Female,96.1
Maldives,1985,Female,92.4
Maldives,2000,Male,96.2
Maldives,1995,Male,96.2
Maldives,1990,Male,95.9
Maldives,1985,Male,92.1
Mali,2003,Female,15.9
Mali,1998,Female,11.9
Mali,2003,Male,32.7
Mali,1998,Male,26.7
Malta,1995,Female,89.2
Malta,1995,Male,86.4
Mauritania,2000,Female,43.4
Mauritania,2000,Male,59.5
Mauritius,2000,Female,80.5
Mauritius,1990,Female,74.7
Mauritius,2000,Male,88.2
Mauritius,1990,Male,85.1
Mexico,2005,Female,90.2
Mexico,2004,Female,89.6
Mexico,2002,Female,88.7
Mexico,2000,Female,88.7
Mexico,1990,Female,85
Mexico,2005,Male,93.2
Mexico,2004,Male,92.4
Mexico,2002,Male,92
Mexico,2000,Male,92.6
Mexico,1990,Male,90.3
Mongolia,2000,Female,97.5
Mongolia,2000,Male,98
Morocco,2004,Female,39.6
Morocco,1994,Female,28.7
Morocco,2004,Male,65.7
Morocco,1994,Male,55.2
Mozambique,1997,Female,25
Mozambique,1997,Male,54.8
Myanmar,2000,Female,86.4
Myanmar,2000,Male,93.9
Namibia,2001,Female,83.5
Namibia,1991,Female,74
Namibia,2001,Male,86.8
Namibia,1991,Male,77.8
Nepal,2001,Female,34.9
Nepal,1991,Female,17.4
Nepal,2001,Male,62.7
Nepal,1991,Male,49.2
Netherlands Antilles,2004,Female,96
Netherlands Antilles,1992,Female,95
Netherlands Antilles,2004,Male,96.1
Netherlands Antilles,1992,Male,95.2
Nicaragua,2001,Female,76.6
Nicaragua,2001,Male,76.8
Niger,2005,Female,15.1
Niger,2005,Male,42.9
Nigeria,2004,Female,60.1
Nigeria,1991,Female,43.7
Nigeria,2004,Male,78.2
Nigeria,1991,Male,67.7
Oman,2003,Female,73.5
Oman,2003,Male,86.9
Pakistan,2005,Female,35.4
Pakistan,1998,Female,29
Pakistan,2005,Male,64.1
Pakistan,1998,Male,55.3
"Palestinian Territory, Occupied",2004,Female,88
"Palestinian Territory, Occupied",1997,Female,79.7
"Palestinian Territory, Occupied",2004,Male,96.7
"Palestinian Territory, Occupied",1997,Male,92.2
Panama,2000,Female,91.2
Panama,1990,Female,88.2
Panama,2000,Male,92.5
Panama,1990,Male,89.3
Papua New Guinea,2000,Female,50.9
Papua New Guinea,2000,Male,63.4
Paraguay,2004,Female,92.7
Paraguay,1992,Female,88.6
Paraguay,2004,Male,94.3
Paraguay,1992,Male,92
Peru,2005,Female,82.5
Peru,2004,Female,82.1
Peru,1993,Female,81.7
Peru,2005,Male,93.7
Peru,2004,Male,93.5
Peru,1993,Male,92.9
Philippines,2003,Female,93.6
Philippines,2000,Female,92.7
Philippines,1990,Female,93.2
Philippines,2003,Male,91.6
Philippines,2000,Male,92.5
Philippines,1990,Male,94
Portugal,2004,Female,92
Portugal,1991,Female,84.7
Portugal,2004,Male,95.8
Portugal,1991,Male,91.6
Qatar,2004,Female,88.6
Qatar,1997,Female,80.9
Qatar,1986,Female,72.5
Qatar,2004,Male,89.1
Qatar,1997,Male,84.2
Qatar,1986,Male,76.8
Republic of Moldova,2004,Female,98.6
Republic of Moldova,1989,Female,94.4
Republic of Moldova,2004,Male,99.6
Republic of Moldova,1989,Male,98.6
Romania,2002,Female,96.3
Romania,1992,Female,95
Romania,2002,Male,98.4
Romania,1992,Male,98.5
Russian Federation,2002,Female,99.2
Russian Federation,1989,Female,96.8
Russian Federation,2002,Male,99.7
Russian Federation,1989,Male,99.5
Rwanda,2000,Female,59.8
Rwanda,2000,Male,71.4
Samoa,2004,Female,98.3
Samoa,1994,Female,97.6
Samoa,2004,Male,98.9
Samoa,1994,Male,98.5
Sao Tome and Principe,2001,Female,77.9
Sao Tome and Principe,1991,Female,61.9
Sao Tome and Principe,2001,Male,92.2
Sao Tome and Principe,1991,Male,85.2
Saudi Arabia,2004,Female,76.3
Saudi Arabia,2000,Female,69.3
Saudi Arabia,1992,Female,57.3
Saudi Arabia,2004,Male,87.5
Saudi Arabia,2000,Male,87.1
Saudi Arabia,1992,Male,80
Senegal,2002,Female,29.2
Senegal,1988,Female,17.9
Senegal,2002,Male,51.1
Senegal,1988,Male,36.9
Serbia and Montenegro,2002,Female,94.1
Serbia and Montenegro,1991,Female,87.8
Serbia and Montenegro,2002,Male,98.9
Serbia and Montenegro,1991,Male,97
Seychelles,2002,Female,92.3
Seychelles,1994,Female,88.6
Seychelles,1987,Female,85.5
Seychelles,2002,Male,91.4
Seychelles,1994,Male,87
Seychelles,1987,Male,82.9
Sierra Leone,2004,Female,24.2
Sierra Leone,2004,Male,46.7
Singapore,1990,Female,83
Singapore,1990,Male,95.1
Slovenia,2004,Female,99.6
Slovenia,1991,Female,99.5
Slovenia,2004,Male,99.7
Slovenia,1991,Male,99.6
South Africa,1996,Female,80.9
South Africa,1996,Male,84.1
Spain,1991,Female,95.1
Spain,1991,Male,98
Sri Lanka,2001,Female,89.1
Sri Lanka,2001,Male,92.3
Sudan,2000,Female,51.8
Sudan,2000,Male,71.1
Suriname,2004,Female,87.2
Suriname,2004,Male,92
Swaziland,2000,Female,78.3
Swaziland,1986,Female,65.2
Swaziland,2000,Male,80.9
Swaziland,1986,Male,69.7
Syria,2004,Female,73.6
Syria,2002,Female,74.2
Syria,2004,Male,87.8
Syria,2002,Male,91
Tajikistan,2000,Female,99.2
Tajikistan,1989,Female,96.6
Tajikistan,2000,Male,99.7
Tajikistan,1989,Male,98.8
Tanzania,2002,Female,62.2
Tanzania,1988,Female,48.1
Tanzania,2002,Male,77.5
Tanzania,1988,Male,71.4
Thailand,2000,Female,90.5
Thailand,2000,Male,94.9
Togo,2000,Female,38.5
Togo,2000,Male,68.7
Tonga,1996,Female,99
Tonga,1996,Male,98.8
Trinidad and Tobago,2004,Female,97.8
Trinidad and Tobago,1994,Female,96.1
Trinidad and Tobago,2004,Male,98.9
Trinidad and Tobago,1994,Male,98.2
Tunisia,2004,Female,65.3
Tunisia,2004,Male,83.4
Turkey,2004,Female,79.6
Turkey,1990,Female,68.5
Turkey,1985,Female,64.2
Turkey,2004,Male,95.3
Turkey,1990,Male,89.8
Turkey,1985,Male,87.6
Turkmenistan,1995,Female,98.3
Turkmenistan,1995,Male,99.3
Uganda,2002,Female,57.7
Uganda,1991,Female,44.8
Uganda,2002,Male,76.8
Uganda,1991,Male,68.2
Ukraine,2001,Female,99.2
Ukraine,2001,Male,99.7
United Arab Emirates,2004,Female,87.8
United Arab Emirates,1994,Female,79
United Arab Emirates,2004,Male,89
United Arab Emirates,1994,Male,79.7
Uruguay,1996,Female,97.3
Uruguay,1985,Female,95.9
Uruguay,1996,Male,96.2
Uruguay,1985,Male,94.8
Venezuela,2001,Female,92.7
Venezuela,1990,Female,89
Venezuela,2001,Male,93.3
Venezuela,1990,Male,90.7
Vietnam,1999,Female,86.9
Vietnam,1989,Female,82.8
Vietnam,1999,Male,93.9
Vietnam,1989,Male,93
Yemen,2004,Female,34.7
Yemen,1994,Female,17.1
Yemen,2004,Male,73.1
Yemen,1994,Male,56.7
Zambia,1999,Female,59.8
Zambia,1990,Female,57.4
Zambia,1999,Male,76.3
Zambia,1990,Male,73
Zimbabwe,2004,Female,86.2
Zimbabwe,1992,Female,78.5
Zimbabwe,2004,Male,92.7
Zimbabwe,1992,Male,88.9
