Country or Area,Year,Age of mother,Value
Ã…land Islands,2000,25 - 29,69
Ã…land Islands,2000,30 - 34,109
Ã…land Islands,2000,35 - 39,43
Ã…land Islands,2000,40 +,9
Ã…land Islands,1999,Total,287
Ã…land Islands,1999,0 - 19,4
Ã…land Islands,1999,20 - 24,27
Ã…land Islands,1999,25 - 29,98
Ã…land Islands,1999,30 - 34,100
Ã…land Islands,1999,35 - 39,48
Ã…land Islands,1999,40 +,10
Ã…land Islands,1998,Total,311
Ã…land Islands,1998,0 - 19,3
Ã…land Islands,1998,20 - 24,28
Ã…land Islands,1998,25 - 29,101
Ã…land Islands,1998,30 - 34,118
Ã…land Islands,1998,35 - 39,51
Ã…land Islands,1998,40 +,10
Ã…land Islands,1997,Total,286
Ã…land Islands,1997,0 - 19,5
Ã…land Islands,1997,20 - 24,28
Ã…land Islands,1997,25 - 29,109
Ã…land Islands,1997,30 - 34,91
Ã…land Islands,1997,35 - 39,42
Ã…land Islands,1997,40 +,11
Ã…land Islands,1996,Total,290
Ã…land Islands,1996,0 - 19,0
Ã…land Islands,1996,20 - 24,38
Ã…land Islands,1996,25 - 29,115
Ã…land Islands,1996,30 - 34,91
Ã…land Islands,1996,35 - 39,42
Ã…land Islands,1996,40 +,4
Ã…land Islands,1995,Total,338
Ã…land Islands,1995,0 - 19,3
Ã…land Islands,1995,20 - 24,44
Ã…land Islands,1995,25 - 29,128
Ã…land Islands,1995,30 - 34,105
Ã…land Islands,1995,35 - 39,52
Ã…land Islands,1995,40 +,6
Ã…land Islands,1994,Total,303
Ã…land Islands,1994,0 - 19,7
Ã…land Islands,1994,20 - 24,41
Ã…land Islands,1994,25 - 29,119
Ã…land Islands,1994,30 - 34,90
Ã…land Islands,1994,35 - 39,35
Ã…land Islands,1994,40 +,11
Ã…land Islands,1993,Total,329
Ã…land Islands,1993,0 - 19,3
Ã…land Islands,1993,20 - 24,47
Ã…land Islands,1993,25 - 29,146
Ã…land Islands,1993,30 - 34,85
Ã…land Islands,1993,35 - 39,40
Ã…land Islands,1993,40 +,8
Ã…land Islands,1992,Total,325
Ã…land Islands,1992,0 - 19,9
Ã…land Islands,1992,20 - 24,50
Ã…land Islands,1992,25 - 29,132
Ã…land Islands,1992,30 - 34,89
Ã…land Islands,1992,35 - 39,40
Ã…land Islands,1992,40 +,5
Ã…land Islands,1991,Total,324
Ã…land Islands,1991,0 - 19,8
Ã…land Islands,1991,20 - 24,66
Ã…land Islands,1991,25 - 29,104
Ã…land Islands,1991,30 - 34,97
Ã…land Islands,1991,35 - 39,44
Ã…land Islands,1991,40 +,5
Albania,2007,Total,33163
Albania,2007,0 - 19,1705
Albania,2007,20 - 24,10330
Albania,2007,25 - 29,11053
Albania,2007,30 - 34,6504
Albania,2007,35 - 39,2683
Albania,2007,40 - 44,554
Albania,2007,45 - 49,76
Albania,2007,50 +,22
Albania,2007,Unknown,236
Albania,2006,Total,34229
Albania,2006,0 - 19,1985
Albania,2006,20 - 24,11213
Albania,2006,25 - 29,11233
Albania,2006,30 - 34,6440
Albania,2006,35 - 39,2469
Albania,2006,40 - 44,502
Albania,2006,45 - 49,46
Albania,2006,50 +,15
Albania,2006,Unknown,326
Albania,2005,Total,39612
Albania,2005,0 - 19,2513
Albania,2005,20 - 24,13099
Albania,2005,25 - 29,12843
Albania,2005,30 - 34,7489
Albania,2005,35 - 39,2827
Albania,2005,40 - 44,585
Albania,2005,45 - 49,62
Albania,2005,50 +,17
Albania,2005,Unknown,177
Albania,2004,Total,43022
Albania,2004,15 - 19,2249
Albania,2004,20 - 24,13516
Albania,2004,25 - 29,14476
Albania,2004,30 - 34,8491
Albania,2004,35 - 39,3239
Albania,2004,40 - 44,736
Albania,2004,45 - 49,64
Albania,2004,50 +,12
Albania,2004,Unknown,239
Albania,2003,Total,47012
Albania,2003,15 - 19,2534
Albania,2003,20 - 24,14617
Albania,2003,25 - 29,15837
Albania,2003,30 - 34,9421
Albania,2003,35 - 39,3477
Albania,2003,40 - 44,799
Albania,2003,45 - 49,74
Albania,2003,50 +,23
Albania,2003,Unknown,230
Albania,2001,Total,54283
Albania,2001,0 - 19,1209
Albania,2001,20 - 24,13807
Albania,2001,25 - 29,19595
Albania,2001,30 - 34,12932
Albania,2001,35 - 39,5007
Albania,2001,40 - 44,1219
Albania,2001,45 - 49,93
Albania,2001,50 +,82
Albania,2001,Unknown,340
Albania,2000,Total,51242
Albania,2000,0 - 19,2502
Albania,2000,20 - 24,15898
Albania,2000,25 - 29,17707
Albania,2000,30 - 34,10232
Albania,2000,35 - 39,3663
Albania,2000,40 - 44,736
Albania,2000,45 - 49,47
Albania,2000,50 +,10
Albania,2000,Unknown,447
Albania,1999,Total,57948
Albania,1999,0 - 19,2536
Albania,1999,20 - 24,19493
Albania,1999,25 - 29,20673
Albania,1999,30 - 34,10678
Albania,1999,35 - 39,3811
Albania,1999,40 - 44,651
Albania,1999,45 - 49,27
Albania,1999,50 +,6
Albania,1999,Unknown,73
Albania,1998,Total,60139
Albania,1998,0 - 19,2768
Albania,1998,20 - 24,19689
Albania,1998,25 - 29,21925
Albania,1998,30 - 34,10831
Albania,1998,35 - 39,4042
Albania,1998,40 - 44,688
Albania,1998,45 - 49,42
Albania,1998,50 +,8
Albania,1998,Unknown,146
Albania,1997,Total,61739
Albania,1997,0 - 19,3005.453
Albania,1997,20 - 24,19525.935
Albania,1997,25 - 29,22172.35
Albania,1997,30 - 34,11414.302
Albania,1997,35 - 39,4199.074
Albania,1997,40 - 44,757.307
Albania,1997,45 - 49,55.876
Albania,1997,50 +,10.699
Albania,1997,Unknown,597.999
Albania,1996,Total,68358
Albania,1996,0 - 19,3479.422
Albania,1996,20 - 24,21806.202
Albania,1996,25 - 29,24280.761
Albania,1996,30 - 34,12666.737
Albania,1996,35 - 39,4586.821
Albania,1996,40 - 44,765.609
Albania,1996,45 - 49,61.522
Albania,1996,50 +,6.835
Albania,1996,Unknown,704.087
Albania,1995,Total,72081
Albania,1995,0 - 19,3438.263
Albania,1995,20 - 24,21631.508
Albania,1995,25 - 29,25026.523
Albania,1995,30 - 34,13544.019
Albania,1995,35 - 39,4663.64
Albania,1995,40 - 44,807.307
Albania,1995,45 - 49,57.664
Albania,1995,50 +,7.208
Albania,1995,Unknown,2904
Albania,1994,Total,72179
Albania,1994,0 - 19,3154.222
Albania,1994,20 - 24,22844.653
Albania,1994,25 - 29,25435
Albania,1994,30 - 34,14724.516
Albania,1994,35 - 39,4489.533
Albania,1994,40 - 44,815.622
Albania,1994,45 - 49,79.396
Albania,1994,50 +,14
Albania,1994,Unknown,621
Albania,1993,Total,67730
Albania,1993,0 - 19,2573.74
Albania,1993,20 - 24,21673.6
Albania,1993,25 - 29,24240
Albania,1993,30 - 34,13701.779
Albania,1993,35 - 39,4178.941
Albania,1993,40 - 44,812.76
Albania,1993,45 - 49,88.049
Albania,1993,50 +,33.865
Albania,1993,Unknown,426
Albania,1992,Total,75425
Albania,1992,0 - 19,2474
Albania,1992,20 - 24,23962
Albania,1992,25 - 29,27303.85
Albania,1992,30 - 34,15537.55
Albania,1992,35 - 39,4631.095
Albania,1992,40 - 44,965.44
Albania,1992,45 - 49,90.51
Albania,1992,50 +,52.797
Albania,1992,Unknown,407.295
Albania,1991,Total,77361
Albania,1991,0 - 19,2264
Albania,1991,20 - 24,24075
Albania,1991,25 - 29,27670
Albania,1991,30 - 34,16655
Albania,1991,35 - 39,5110
Albania,1991,40 - 44,1168
Albania,1991,45 - 49,111
Albania,1991,50 +,45
Albania,1991,Unknown,263
Albania,1990,Total,82125
Albania,1990,0 - 19,2373
Albania,1990,20 - 24,24773
Albania,1990,25 - 29,30658
Albania,1990,30 - 34,17116
Albania,1990,35 - 39,5448
Albania,1990,40 - 44,1327
Albania,1990,45 - 49,141
Albania,1990,50 +,45
Albania,1990,Unknown,244
Albania,1989,Total,78862
Albania,1989,0 - 14,0
Albania,1989,15 - 19,2404
Albania,1989,20 - 24,23814
Albania,1989,25 - 29,29992
Albania,1989,30 - 34,16057
Albania,1989,35 - 39,5027
Albania,1989,40 - 44,1237
Albania,1989,45 - 49,127
Albania,1989,50 +,28
Albania,1989,Unknown,176
Albania,1988,Total,80241
Albania,1988,0 - 14,0
Albania,1988,15 - 19,2406
Albania,1988,20 - 24,24433
Albania,1988,25 - 29,30550
Albania,1988,30 - 34,16000
Albania,1988,35 - 39,5300
Albania,1988,40 - 44,1195
Albania,1988,45 - 49,149
Albania,1988,50 +,23
Albania,1988,Unknown,185
Albania,1987,Total,79696
Albania,1987,0 - 14,0
Albania,1987,15 - 19,2371
Albania,1987,20 - 24,24123
Albania,1987,25 - 29,30419
Albania,1987,30 - 34,15448
Albania,1987,35 - 39,5712
Albania,1987,40 - 44,1261
Albania,1987,45 - 49,167
Albania,1987,50 +,28
Albania,1987,Unknown,167
Albania,1986,Total,76435
Albania,1986,0 - 14,0
Albania,1986,15 - 19,2409
Albania,1986,20 - 24,23870
Albania,1986,25 - 29,28689
Albania,1986,30 - 34,14292
Albania,1986,35 - 39,5500
Albania,1986,40 - 44,1306
Albania,1986,45 - 49,141
Albania,1986,50 +,23
Albania,1986,Unknown,205
Albania,1985,Total,77535
Albania,1985,0 - 14,0
Albania,1985,15 - 19,2453
Albania,1985,20 - 24,24968
Albania,1985,25 - 29,28155
Albania,1985,30 - 34,14182
Albania,1985,35 - 39,5707
Albania,1985,40 - 44,1664
Albania,1985,45 - 49,142
Albania,1985,50 +,18
Albania,1985,Unknown,246
Albania,1984,Total,79177
Albania,1984,0 - 14,0
Albania,1984,15 - 19,2470
Albania,1984,20 - 24,26402
Albania,1984,25 - 29,27814
Albania,1984,30 - 34,14277
Albania,1984,35 - 39,5832
Albania,1984,40 - 44,2030
Albania,1984,45 - 49,125
Albania,1984,50 +,26
Albania,1984,Unknown,201
Albania,1983,Total,73762
Albania,1983,0 - 14,0
Albania,1983,15 - 19,2398
Albania,1983,20 - 24,26023
Albania,1983,25 - 29,24362
Albania,1983,30 - 34,13398
Albania,1983,35 - 39,5281
Albania,1983,40 - 44,1936
Albania,1983,45 - 49,151
Albania,1983,50 +,18
Albania,1983,Unknown,195
Albania,1982,Total,77232
Albania,1982,0 - 14,0
Albania,1982,15 - 19,2595
Albania,1982,20 - 24,26340
Albania,1982,25 - 29,25834
Albania,1982,30 - 34,13979
Albania,1982,35 - 39,5826
Albania,1982,40 - 44,2221
Albania,1982,45 - 49,188
Albania,1982,50 +,16
Albania,1982,Unknown,233
Albania,1981,Total,72180
Albania,1981,0 - 14,0
Albania,1981,15 - 19,2777
Albania,1981,20 - 24,25388
Albania,1981,25 - 29,22953
Albania,1981,30 - 34,12764
Albania,1981,35 - 39,5808
Albania,1981,40 - 44,2086
Albania,1981,45 - 49,197
Albania,1981,50 +,20
Albania,1981,Unknown,187
Albania,1980,Total,70680
Albania,1980,0 - 14,0
Albania,1980,15 - 19,3207
Albania,1980,20 - 24,24625
Albania,1980,25 - 29,21972
Albania,1980,30 - 34,12067
Albania,1980,35 - 39,6452
Albania,1980,40 - 44,2037
Albania,1980,45 - 49,220
Albania,1980,50 +,23
Albania,1980,Unknown,77
Albania,1979,Total,72055
Albania,1979,0 - 14,18
Albania,1979,15 - 19,3506
Albania,1979,20 - 24,25102
Albania,1979,25 - 29,21728
Albania,1979,30 - 34,11976
Albania,1979,35 - 39,7348
Albania,1979,40 - 44,1996
Albania,1979,45 - 49,260
Albania,1979,50 +,22
Albania,1979,Unknown,99
Albania,1971,Total,72784
Albania,1971,0 - 14,0
Albania,1971,15 - 19,3547
Albania,1971,20 - 24,23431
Albania,1971,25 - 29,19355
Albania,1971,30 - 34,14464
Albania,1971,35 - 39,7798
Albania,1971,40 - 44,3267
Albania,1971,45 - 49,545
Albania,1971,50 +,164
Albania,1971,Unknown,213
Albania,1970,Total,69507
Albania,1970,0 - 14,0
Albania,1970,15 - 19,3922
Albania,1970,20 - 24,21120
Albania,1970,25 - 29,18923
Albania,1970,30 - 34,13523
Albania,1970,35 - 39,7696
Albania,1970,40 - 44,3175
Albania,1970,45 - 49,675
Albania,1970,50 +,230
Albania,1970,Unknown,243
Albania,1969,Total,73458
Albania,1969,0 - 14,4
Albania,1969,15 - 19,4837
Albania,1969,20 - 24,20508
Albania,1969,25 - 29,21686
Albania,1969,30 - 34,13794
Albania,1969,35 - 39,8324
Albania,1969,40 - 44,3141
Albania,1969,45 - 49,748
Albania,1969,50 +,180
Albania,1969,Unknown,236
Albania,1967,Total,69261
Albania,1967,0 - 14,9
Albania,1967,15 - 19,4287
Albania,1967,20 - 24,18162
Albania,1967,25 - 29,20571
Albania,1967,30 - 34,13109
Albania,1967,35 - 39,8227
Albania,1967,40 - 44,3419
Albania,1967,45 - 49,1073
Albania,1967,50 +,242
Albania,1967,Unknown,162
Albania,1966,Total,65127
Albania,1966,0 - 14,0
Albania,1966,15 - 19,3760
Albania,1966,20 - 24,17713
Albania,1966,25 - 29,18749
Albania,1966,30 - 34,12432
Albania,1966,35 - 39,7819
Albania,1966,40 - 44,3170
Albania,1966,45 - 49,1091
Albania,1966,50 +,306
Albania,1966,Unknown,87
Albania,1965,Total,65692
Albania,1965,0 - 14,9
Albania,1965,15 - 19,3540
Albania,1965,20 - 24,18312
Albania,1965,25 - 29,18306
Albania,1965,30 - 34,12480
Albania,1965,35 - 39,7695
Albania,1965,40 - 44,3493
Albania,1965,45 - 49,1348
Albania,1965,50 +,359
Albania,1965,Unknown,150
Algeria,1986,Total,766186
Algeria,1986,0 - 19,41659
Algeria,1986,20 - 24,199383
Algeria,1986,25 - 29,207519
Algeria,1986,30 - 34,169904
Algeria,1986,35 - 39,94303
Algeria,1986,40 - 44,37584
Algeria,1986,45 - 49,7015
Algeria,1986,50 +,2164
Algeria,1986,Unknown,6655
Algeria,1985,Total,845383
Algeria,1985,0 - 19,51476
Algeria,1985,20 - 24,219440
Algeria,1985,25 - 29,228725
Algeria,1985,30 - 34,187585
Algeria,1985,35 - 39,102581
Algeria,1985,40 - 44,42721
Algeria,1985,45 - 49,8492
Algeria,1985,50 +,2697
Algeria,1985,Unknown,1666
Algeria,1980,Total,818613
Algeria,1980,0 - 19,74828
Algeria,1980,20 - 24,224432
Algeria,1980,25 - 29,228232
Algeria,1980,30 - 34,135045
Algeria,1980,35 - 39,92825
Algeria,1980,40 - 44,41167
Algeria,1980,45 - 49,7945
Algeria,1980,50 +,1927
Algeria,1980,Unknown,12212
Algeria,1979,Total,796895
Algeria,1979,0 - 14,107
Algeria,1979,15 - 19,65209
Algeria,1979,20 - 24,217271
Algeria,1979,25 - 29,213818
Algeria,1979,30 - 34,137520
Algeria,1979,35 - 39,96726
Algeria,1979,40 - 44,44025
Algeria,1979,45 - 49,7861
Algeria,1979,50 +,1548
Algeria,1979,Unknown,12810
Algeria,1978,Total,767199
Algeria,1978,0 - 14,84
Algeria,1978,15 - 19,74737
Algeria,1978,20 - 24,211301
Algeria,1978,25 - 29,192539
Algeria,1978,30 - 34,129259
Algeria,1978,35 - 39,93821
Algeria,1978,40 - 44,44269
Algeria,1978,45 - 49,7547
Algeria,1978,50 +,1120
Algeria,1978,Unknown,12522
Algeria,1965,Total,507848
Algeria,1965,0 - 14,735
Algeria,1965,15 - 19,64276
Algeria,1965,20 - 24,125008
Algeria,1965,25 - 29,124690
Algeria,1965,30 - 34,96349
Algeria,1965,35 - 39,59501
Algeria,1965,40 - 44,28629
Algeria,1965,45 - 49,2535
Algeria,1965,50 +,2114
Algeria,1965,Unknown,4011
American Samoa,2006,Total,1442
American Samoa,2006,0 - 14,1
American Samoa,2006,15 - 19,110
American Samoa,2006,20 - 24,342
American Samoa,2006,25 - 29,410
American Samoa,2006,30 - 34,303
American Samoa,2006,35 - 39,218
American Samoa,2006,40 - 44,55
American Samoa,2006,45 - 49,3
American Samoa,2005,Total,1720
American Samoa,2005,0 - 14,0
American Samoa,2005,15 - 19,101
American Samoa,2005,20 - 24,406
American Samoa,2005,25 - 29,517
American Samoa,2005,30 - 34,371
American Samoa,2005,35 - 39,248
American Samoa,2005,40 - 44,75
American Samoa,2005,45 - 49,2
American Samoa,2005,50 +,0
American Samoa,2004,Total,1713
American Samoa,2004,0 - 14,2
American Samoa,2004,15 - 19,128
American Samoa,2004,20 - 24,400
American Samoa,2004,25 - 29,517
American Samoa,2004,30 - 34,367
American Samoa,2004,35 - 39,235
American Samoa,2004,40 - 44,60
American Samoa,2004,45 - 49,4
American Samoa,2004,50 +,0
American Samoa,2003,Total,1608
American Samoa,2003,0 - 14,2
American Samoa,2003,15 - 19,109
American Samoa,2003,20 - 24,409
American Samoa,2003,25 - 29,498
American Samoa,2003,30 - 34,338
American Samoa,2003,35 - 39,210
American Samoa,2003,40 - 44,41
American Samoa,2003,45 - 49,1
American Samoa,2003,50 +,0
American Samoa,2002,Total,1629
American Samoa,2002,0 - 14,3
American Samoa,2002,15 - 19,122
American Samoa,2002,20 - 24,435
American Samoa,2002,25 - 29,463
American Samoa,2002,30 - 34,343
American Samoa,2002,35 - 39,214
American Samoa,2002,40 - 44,45
American Samoa,2002,45 - 49,4
American Samoa,2002,50 +,0
American Samoa,2001,Total,1655
American Samoa,2001,0 - 14,1
American Samoa,2001,15 - 19,124
American Samoa,2001,20 - 24,410
American Samoa,2001,25 - 29,471
American Samoa,2001,30 - 34,389
American Samoa,2001,35 - 39,209
American Samoa,2001,40 - 44,51
American Samoa,2001,45 - 49,0
American Samoa,2001,50 +,0
American Samoa,2000,Total,1730
American Samoa,2000,0 - 14,3
American Samoa,2000,15 - 19,139
American Samoa,2000,20 - 24,428
American Samoa,2000,25 - 29,510
American Samoa,2000,30 - 34,394
American Samoa,2000,35 - 39,212
American Samoa,2000,40 - 44,44
American Samoa,2000,45 - 49,0
American Samoa,2000,50 +,0
American Samoa,1999,Total,1736
American Samoa,1999,0 - 14,2
American Samoa,1999,15 - 19,140
American Samoa,1999,20 - 24,459
American Samoa,1999,25 - 29,481
American Samoa,1999,30 - 34,422
American Samoa,1999,35 - 39,193
American Samoa,1999,40 - 44,39
American Samoa,1999,45 - 49,0
American Samoa,1999,50 +,0
American Samoa,1998,Total,1688
American Samoa,1998,0 - 14,0
American Samoa,1998,15 - 19,128
American Samoa,1998,20 - 24,430
American Samoa,1998,25 - 29,479
American Samoa,1998,30 - 34,390
American Samoa,1998,35 - 39,216
American Samoa,1998,40 - 44,45
American Samoa,1998,45 - 49,0
American Samoa,1998,50 +,0
American Samoa,1997,Total,1634
American Samoa,1997,0 - 14,0
American Samoa,1997,15 - 19,124
American Samoa,1997,20 - 24,412
American Samoa,1997,25 - 29,485
American Samoa,1997,30 - 34,379
American Samoa,1997,35 - 39,182
American Samoa,1997,40 - 44,52
American Samoa,1997,45 - 49,0
American Samoa,1997,50 +,0
American Samoa,1996,Total,1641
American Samoa,1996,0 - 14,1
American Samoa,1996,15 - 19,115
American Samoa,1996,20 - 24,431
American Samoa,1996,25 - 29,491
American Samoa,1996,30 - 34,407
American Samoa,1996,35 - 39,159
American Samoa,1996,40 - 44,37
American Samoa,1996,45 - 49,0
American Samoa,1996,50 +,0
American Samoa,1995,Total,1698
American Samoa,1995,0 - 14,2
American Samoa,1995,15 - 19,123
American Samoa,1995,20 - 24,409
American Samoa,1995,25 - 29,552
American Samoa,1995,30 - 34,403
American Samoa,1995,35 - 39,173
American Samoa,1995,40 - 44,36
American Samoa,1995,45 - 49,0
American Samoa,1995,50 +,0
American Samoa,1994,Total,1892
American Samoa,1994,0 - 14,6
American Samoa,1994,15 - 19,136
American Samoa,1994,20 - 24,494
American Samoa,1994,25 - 29,639
American Samoa,1994,30 - 34,413
American Samoa,1994,35 - 39,162
American Samoa,1994,40 - 44,42
American Samoa,1994,45 - 49,0
American Samoa,1994,50 +,0
American Samoa,1993,Total,1998
American Samoa,1993,0 - 14,2
American Samoa,1993,15 - 19,137
American Samoa,1993,20 - 24,574
American Samoa,1993,25 - 29,614
American Samoa,1993,30 - 34,433
American Samoa,1993,35 - 39,197
American Samoa,1993,40 - 44,41
American Samoa,1993,45 - 49,0
American Samoa,1993,50 +,0
American Samoa,1992,Total,1953
American Samoa,1992,0 - 14,3
American Samoa,1992,15 - 19,114
American Samoa,1992,20 - 24,558
American Samoa,1992,25 - 29,662
American Samoa,1992,30 - 34,417
American Samoa,1992,35 - 39,171
American Samoa,1992,40 - 44,28
American Samoa,1992,45 - 49,0
American Samoa,1992,50 +,0
American Samoa,1991,Total,1817
American Samoa,1991,0 - 14,0
American Samoa,1991,15 - 19,139
American Samoa,1991,20 - 24,542
American Samoa,1991,25 - 29,588
American Samoa,1991,30 - 34,368
American Samoa,1991,35 - 39,146
American Samoa,1991,40 - 44,34
American Samoa,1991,45 - 49,0
American Samoa,1991,50 +,0
American Samoa,1990,Total,1856
American Samoa,1990,0 - 14,4
American Samoa,1990,15 - 19,134
American Samoa,1990,20 - 24,565
American Samoa,1990,25 - 29,615
American Samoa,1990,30 - 34,353
American Samoa,1990,35 - 39,145
American Samoa,1990,40 - 44,40
American Samoa,1990,45 - 49,0
American Samoa,1990,50 +,0
American Samoa,1989,Total,1740
American Samoa,1989,0 - 14,1
American Samoa,1989,15 - 19,119
American Samoa,1989,20 - 24,525
American Samoa,1989,25 - 29,566
American Samoa,1989,30 - 34,338
American Samoa,1989,35 - 39,164
American Samoa,1989,40 - 44,27
American Samoa,1989,45 - 49,0
American Samoa,1989,50 +,0
American Samoa,1988,Total,1625
American Samoa,1988,0 - 14,3
American Samoa,1988,15 - 19,114
American Samoa,1988,20 - 24,495
American Samoa,1988,25 - 29,552
American Samoa,1988,30 - 34,306
American Samoa,1988,35 - 39,134
American Samoa,1988,40 - 44,21
American Samoa,1988,40 +,21
American Samoa,1988,45 - 49,0
American Samoa,1988,50 +,0
American Samoa,1988,Unknown,0
American Samoa,1982,Total,1160
American Samoa,1982,0 - 14,1
American Samoa,1982,15 - 19,92
American Samoa,1982,20 - 24,403
American Samoa,1982,25 - 29,341
American Samoa,1982,30 - 34,217
American Samoa,1982,35 - 39,90
American Samoa,1982,40 - 44,15
American Samoa,1982,45 - 49,1
American Samoa,1982,50 +,0
American Samoa,1982,Unknown,0
American Samoa,1976,Total,1092
American Samoa,1976,0 - 14,1
American Samoa,1976,15 - 19,80
American Samoa,1976,20 - 24,344
American Samoa,1976,25 - 29,335
American Samoa,1976,30 - 34,197
American Samoa,1976,35 - 39,94
American Samoa,1976,40 - 44,34
American Samoa,1976,45 - 49,6
American Samoa,1976,50 +,1
American Samoa,1976,Unknown,0
American Samoa,1973,Total,987
American Samoa,1973,0 - 14,0
American Samoa,1973,15 - 19,85
American Samoa,1973,20 - 24,329
American Samoa,1973,25 - 29,289
American Samoa,1973,30 - 34,156
American Samoa,1973,35 - 39,86
American Samoa,1973,40 - 44,35
American Samoa,1973,45 - 49,6
American Samoa,1973,50 +,0
American Samoa,1973,Unknown,1
American Samoa,1972,Total,1077
American Samoa,1972,0 - 14,0
American Samoa,1972,15 - 19,93
American Samoa,1972,20 - 24,353
American Samoa,1972,25 - 29,301
American Samoa,1972,30 - 34,173
American Samoa,1972,35 - 39,108
American Samoa,1972,40 - 44,39
American Samoa,1972,45 - 49,9
American Samoa,1972,50 +,1
American Samoa,1972,Unknown,0
American Samoa,1971,Total,1038
American Samoa,1971,0 - 14,2
American Samoa,1971,15 - 19,78
American Samoa,1971,20 - 24,353
American Samoa,1971,25 - 29,274
American Samoa,1971,30 - 34,169
American Samoa,1971,35 - 39,106
American Samoa,1971,40 - 44,41
American Samoa,1971,45 - 49,12
American Samoa,1971,50 +,1
American Samoa,1971,Unknown,2
American Samoa,1969,Total,1055
American Samoa,1969,0 - 14,1
American Samoa,1969,15 - 19,85
American Samoa,1969,20 - 24,331
American Samoa,1969,25 - 29,268
American Samoa,1969,30 - 34,177
American Samoa,1969,35 - 39,133
American Samoa,1969,40 - 44,45
American Samoa,1969,45 - 49,7
American Samoa,1969,50 +,0
American Samoa,1969,Unknown,8
American Samoa,1968,Total,1052
American Samoa,1968,0 - 14,2
American Samoa,1968,15 - 19,81
American Samoa,1968,20 - 24,349
